Paper Name,Citation,Cohort,Gait Task,High-pass filter (settings),ASR (Yes/No),ASR cut-off,IC-selection method,IC-selection threshold,Supporting quote - High-pass,Supporting quote - ASR,Supporting quote - ASR threshold,Supporting quote - IC-selection method,Supporting quote - IC-selection threshold,Filename,Notes / Cross-validation flags
Cognitive load reduces the effects of optic flow on gait and electrocortical dynamics during treadmill walking,"Malcolm, B. R., et al., 2018",HA,Treadmill walking,"1 Hz, zero-phase FIR, order 5632",No,,Dipole/residual-variance; Manual/visual,reject if P(brain) < 0.85 (dipole residual variance < 15%),"- ""EEG data were first high-pass filtered at 1 Hz with a zero-phase finite impulse response (FIR; order 5632) filter (Winkler et al. 2015), and then all blocks for each subject were concatenated into one data set.""
  - ""Continuous EEG was recorded with a 72-channel BioSemi ActiveTwo system (digitized at 512 Hz; pass band 0.05 to 100 Hz, 24-dB/octave).""","- ""Following this procedure, an average of 10 brain-related ICs per participant (ranging from 6 to 16 ICs) were retained for further analyses.""
  - ""ICs that were clearly artifactual were rejected; these could have included activity originating from eye blinks, bad electrodes, cable sway, and muscle activity noise (Snyder et al. 2015).""
  - ""EEG data were first high-pass filtered at 1 Hz with a zero-phase finite impulse response (FIR; order 5632) filter (Winkler et al. 2015), and then all blocks for each subject were concatenated into one data set. Noisy channels were identified and removed by visual inspection and by automatic detection of channels with signals more than five times the SD of the mean across all channels (Wagner et al. 2012). Remaining channels were re-referenced to a common average reference. Continuous data were then subjected to a manual visual inspection resulting in the rejection of any sequences that contained large or nonstereotypical artifacts. Next, an extended ICA decomposition was performed using default training mode parameters (Makeig et al. 1996).""","- ""EEG data were first high-pass filtered at 1 Hz with a zero-phase finite impulse response (FIR; order 5632) filter (Winkler et al. 2015), and then all blocks for each subject were concatenated into one data set. Noisy channels were identified and removed by visual inspection and by automatic detection of channels with signals more than five times the SD of the mean across all channels (Wagner et al. 2012).""
  - ""Continuous data were then subjected to a manual visual inspection resulting in the rejection of any sequences that contained large or nonstereotypical artifacts.""
  - ""Next, an extended ICA decomposition was performed using default training mode parameters (Makeig et al. 1996).""
  - ""Resulting ICs were coregistered with a standard Montreal Neurological Institute (MNI) boundary element head model and fit with single equivalent current dipole models using the DIPFIT toolbox in EEGLAB (Delorme et al. 2012;Oostenveld and Oostendorp 2002).""
  - ""ICs that were clearly artifactual were rejected; these could have included activity originating from eye blinks, bad electrodes, cable sway, and muscle activity noise (Snyder et al. 2015).""
  - ""Two experienced EEG raters, B.R.M. (first author) and P.D. (senior author), visually inspected, compared, and discussed their ratings of ICs.""
  - ""For example, to determine that probable brain ICs were not contaminated with muscle noise, spectral power plots extending out to 100 Hz were examined to determine that ICs maintained the 1/f power roll-off.""","- ""Resulting ICs were coregistered with a standard Montreal Neurological Institute (MNI) boundary element head model and fit with single equivalent current dipole models using the DIPFIT toolbox in EEGLAB (Delorme et al. 2012;Oostenveld and Oostendorp 2002). Only ICs for which the estimated dipole model was located within the brain and explained Ͼ85% of the variance of the IC scalp map were retained (Gwin et al. 2011;Sipp et al. 2013).""
  - ""Two experienced EEG raters, B.R.M. (first author) and P.D. (senior author), visually inspected, compared, and discussed their ratings of ICs. Rejection criteria were based on topography, spectra, component activation time course, and estimated dipole location (Jung et al. 2000).""
  - ""Following this procedure, an average of 10 brain-related ICs per participant (ranging from 6 to 16 ICs) were retained for further analyses.""
  - ""ICs that were clearly artifactual were rejected; these could have included activity originating from eye blinks, bad electrodes, cable sway, and muscle activity noise (Snyder et al. 2015).""","- ""Only ICs for which the estimated dipole model was located within the brain and explained Ͼ85% of the variance of the IC scalp map were retained (Gwin et al. 2011;Sipp et al. 2013).""
  - ""Rejection criteria were based on topography, spectra, component activation time course, and estimated dipole location (Jung et al. 2000).""
  - ""ICs that were clearly artifactual were rejected; these could have included activity originating from eye blinks, bad electrodes, cable sway, and muscle activity noise (Snyder et al. 2015).""
  - ""For example, to determine that probable brain ICs were not contaminated with muscle noise, spectral power plots extending out to 100 Hz were examined to determine that ICs maintained the 1/f power roll-off.""",PMC6295527.pdf,
Mobile Brain/Body Imaging (MoBI): High-density electrical mapping of inhibitory processes during walking,"De Sanctis, P et al., 2012",HA,Treadmill walking,1 Hz,No,Not reported (the paper does not mention ASR or provide a standard deviation value for artifact removal),No ICA,,"- ""The data were recorded at 512 Hz and bandpass filtered from 1 to 40Hz (24 dB/octave).""","- ""To confirm that there was minimal contamination of the broadband evoked response from muscles and eye movements which are commonly shown in frequencies of 8Hz or higher, we computed the Fast Fourier Transform on the epoched GO trials for each participant for all three conditions.""
  - ""Trials with more than six artifact channels were rejected.""
  - ""We applied an automatic artifact rejection criterion of ±75 μV across all electrodes in the array.""","- ""Trials with more than six artifact channels were rejected.""
  - ""We applied an automatic artifact rejection criterion of ±75 μV across all electrodes in the array.""","- ""We computed the correlation coefficient matrix for each participant and for the group average.""
  - ""To confirm that there was minimal contamination of the broadband evoked response from muscles and eye movements which are commonly shown in frequencies of 8Hz or higher, we computed the Fast Fourier Transform on the epoched GO trials for each participant for all three conditions.""
  - ""Trials with more than six artifact channels were rejected.""
  - ""We applied an automatic artifact rejection criterion of ±75 μV across all electrodes in the array.""","- ""We applied an automatic artifact rejection criterion of ±75 μV across all electrodes in the array.""
  - ""Trials with more than six artifact channels were rejected.""
  - ""To confirm that there was minimal contamination of the broadband evoked response from muscles and eye movements which are commonly shown in frequencies of 8Hz or higher, we computed the Fast Fourier Transform on the epoched GO trials for each participant for all three conditions.""",PMID_23366197.pdf,
The effects of blurred visual inputs with different levels on the cerebral activity during free level walking,"Ao, M., et al., 2023",HA,Overground walking,Not reported (the paper does not specify a high-pass filter cutoff frequency or type/design),No,,"ICA used, method unspecified",,"- ""Offline analysis was performed using the WinEEG software (www.mitsar-EEG.com), with a low-pass filter at 30 Hz.""
  - ""The EEG signals were bandpass-filtered from 0 to 100 Hz.""
  - ""The EEG epochs were segmented and baseline corrected. Epochs of more than 80 µV were excluded as artifacts.""","- """"The EEG epochs were segmented and baseline corrected. Epochs of more than 80 µV were excluded as artifacts. The independent component analysis (ICA) was employed to eliminate the blink artifacts and artifacts related to the contraction of frontal and temporal muscles or neck muscles.""""","- ""The EEG epochs were segmented and baseline corrected. Epochs of more than 80 µV were excluded as artifacts.""
  - ""The independent component analysis (ICA) was employed to eliminate the blink artifacts and artifacts related to the contraction of frontal and temporal muscles or neck muscles.""","- """"The EEG epochs were segmented and baseline corrected. Epochs of more than 80 µV were excluded as artifacts. The independent component analysis (ICA) was employed to eliminate the blink artifacts and artifacts related to the contraction of frontal and temporal muscles or neck muscles.""""","- ""The independent component analysis (ICA) was employed to eliminate the blink artifacts and artifacts related to the contraction of frontal and temporal muscles or neck muscles.""",PMC10149992.pdf,
Assessing Neurokinematic and Neuromuscular Connectivity During Walking Using Mobile Brain-Body Imaging,"Zhao, M., et al., 2022",HA,Treadmill walking,1 Hz,No,,"Other automated (e.g. kurtosis, ADJUST, MARA, correlation-based)","- Reject IC if maximum kurtosis > 12 (ocular artifacts)
- Reject IC if mean sample entropy < 0.8 (movement artifacts)
- Reject IC if power in [30-80 Hz] > power in [1-30 Hz] (myogenic artifacts)","- ""We first corrected the bad channels in the hdEEG data (Guarnieri et al., 2018), digitally filtered them in the frequency band between 1 and 80 Hz and downsampled them to 200 Hz.""
  - ""We reconstructed neural signals in the alpha (8–13 Hz), beta (13–30 Hz), and gamma (30–50 Hz) frequency bands, and assessed the co-modulations of their power envelopes with myogenic/velocity envelopes.""
  - ""After artifact attenuation, we re-referenced the hdEEG signals using the average reference approach (Liu et al., 2015).""","- ""Specifically, we attenuated the ocular artifacts by decomposing the hdEEG data with deflation-FastICA (Hyvarinen, 1999) and removing the components with maximum kurtosis over 5-s windows above 12; then, we attenuated the movement artifacts by decomposing the data with symmetric-FastICA (Hyvarinen, 1999) and removing the resulting components with mean sample entropy over 20-s windows below 0.8; finally, we attenuated the myogenic artifacts by decomposing the data with independent vector analysis (Anderson et al., 2011) and removing the components with power in the [30-80 Hz] band larger than the power in the [1-30 Hz] band.""
  - ""Then, we applied a multi-step blind source separation approach to minimize the impact of ocular, movement and myogenic artifacts in the mobile hdEEG data (Zhao et al., 2021).""
  - ""We first corrected the bad channels in the hdEEG data (Guarnieri et al., 2018), digitally filtered them in the frequency band between 1 and 80 Hz and downsampled them to 200 Hz.""","- ""Specifically, we attenuated the ocular artifacts by decomposing the hdEEG data with deflation-FastICA (Hyvarinen, 1999) and removing the components with maximum kurtosis over 5-s windows above 12; then, we attenuated the movement artifacts by decomposing the data with symmetric-FastICA (Hyvarinen, 1999) and removing the resulting components with mean sample entropy over 20-s windows below 0.8; finally, we attenuated the myogenic artifacts by decomposing the data with independent vector analysis (Anderson et al., 2011) and removing the components with power in the [30-80 Hz] band larger than the power in the [1-30 Hz] band.""
  - ""Then, we applied a multi-step blind source separation approach to minimize the impact of ocular, movement and myogenic artifacts in the mobile hdEEG data (Zhao et al., 2021).""
  - ""We first corrected the bad channels in the hdEEG data (Guarnieri et al., 2018), digitally filtered them in the frequency band between 1 and 80 Hz and downsampled them to 200 Hz.""","- ""Specifically, we attenuated the ocular artifacts by decomposing the hdEEG data with deflation-FastICA (Hyvarinen, 1999) and removing the components with maximum kurtosis over 5-s windows above 12; then, we attenuated the movement artifacts by decomposing the data with symmetric-FastICA (Hyvarinen, 1999) and removing the resulting components with mean sample entropy over 20-s windows below 0.8; finally, we attenuated the myogenic artifacts by decomposing the data with independent vector analysis (Anderson et al., 2011) and removing the components with power in the [30-80 Hz] band larger than the power in the [1-30 Hz] band.""
  - ""we applied a multi-step blind source separation approach to minimize the impact of ocular, movement and myogenic artifacts in the mobile hdEEG data (Zhao et al., 2021).""","- ""we attenuated the ocular artifacts by decomposing the hdEEG data with deflation-FastICA (Hyvarinen, 1999) and removing the components with maximum kurtosis over 5-s windows above 12; then, we attenuated the movement artifacts by decomposing the data with symmetric-FastICA (Hyvarinen, 1999) and removing the resulting components with mean sample entropy over 20-s windows below 0.8; finally, we attenuated the myogenic artifacts by decomposing the data with independent vector analysis (Anderson et al., 2011) and removing the components with power in the [30-80 Hz] band larger than the power in the [1-30 Hz] band.""",PMC9204106.pdf,"Author/year duplicate (Zhao, M. et al., 2022 appears twice in corpus — this is the 'neurokinematic/neuromuscular connectivity' paper). Cohort/gait confirmed via filename-matched Elicit extraction; unambiguous on technical fields."
Neural signature of mobility-related everyday function in older adults at-risk of cognitive impairment,"De Sanctis, P., et al., 2023",HA,Treadmill walking,2 Hz (zerophase FIR filter order 3380),No,,"Dipole/residual-variance, Manual/visual","keep IC if dipole residual variance < 20% (i.e., fit accounts for at least 80% of the variance)","- ""Continuous EEG was recorded with a 160-channel BioSemi Active Two system (digitized at 512Hz; 0.05 to 100 Hz pass-band, 24 dB/octave).""","- ""ICs originating from eye blinks, bad electrodes, cable sway and muscle activity noise were rejected (Snyder, Kline et al. 2015).""
  - ""an adaptive independent component analysis (ICA) mixture model algorithm (RUNICA) was used to decompose EEG signals into independent components (ICs).""
  - ""Data were visually inspected, and additional channels were excluded if artefacts were present over ~50 sec.""
  - ""An automatic channel rejection procedure (Kothe 2017) was applied to exclude channels with flat lines, correlation between neighboring channels < 0.6, and values of line noise exceeding signal by 8 standard deviations.""","- ""An automatic channel rejection procedure (Kothe 2017) was applied to exclude channels with flat lines, correlation between neighboring channels < 0.6, and values of line noise exceeding signal by 8 standard deviations.""
  - ""Data were visually inspected, and additional channels were excluded if artefacts were present over ~50 sec.""
  - ""an adaptive independent component analysis (ICA) mixture model algorithm (RUNICA) was used to decompose EEG signals into independent components (ICs).""
  - ""ICs originating from eye blinks, bad electrodes, cable sway and muscle activity noise were rejected (Snyder, Kline et al. 2015).""
  - ""Only dipoles located within the brain, with a fit accounting for at least 80% of the variance for a given IC scalp projection, were retained (Artoni, Menicucci et al. 2014).""","- ""An automatic channel rejection procedure (Kothe 2017) was applied to exclude channels with flat lines, correlation between neighboring channels < 0.6, and values of line noise exceeding signal by 8 standard deviations.""
  - ""Data were visually inspected, and additional channels were excluded if artefacts were present over ~50 sec.""
  - ""ICs originating from eye blinks, bad electrodes, cable sway and muscle activity noise were rejected""
  - ""Only dipoles located within the brain, with a fit accounting for at least 80% of the variance for a given IC scalp projection, were retained""
  - ""Brain ICs were clustered across participants using feature vectors coding for IC difference in power spectral density, dipole location, and scalp projection""
  - ""ICs greater than three standard deviations from a cluster centroid were classified as outliers.""","- ""Only dipoles located within the brain, with a fit accounting for at least 80% of the variance for a given IC scalp projection, were retained (Artoni, Menicucci et al. 2014).""
  - ""In addition, ICs originating from eye blinks, bad electrodes, cable sway and muscle activity noise were rejected (Snyder, Kline et al. 2015).""",PMC10281759.pdf,
Effects of Matched and Mismatched Visual Flow and Gait Speeds on Human Electrocortical Spectral Power,"Cheng, Y.-P., et al., 2025",HA,Treadmill walking,1 Hz,No,,ICLabel; Dipole/residual-variance,"reject IC if P(non-brain) > 0.9, retain if dipole residual variance < 15%","- ""A 1 Hz high-pass filter and robust reference was applied [32], followed by sliding window spectral cleaning using principal component analysis to remove transient large-amplitude fluctuations [21] and canonical correlation analysis to remove electrical and muscle activity artifacts [33,34].""","- ""Independent components were labeled for likelihood of brain, muscle, eye, or noisy signals [36], where components with 90% or higher chance to be non-brain signals were rejected.""
  - ""After concatenating all pre-processed data among conditions, we rejected remaining noisy channels and down-sampled the data to 256 Hz before applying an Adaptive Mixture Independent Component Analysis in EEGLAB [35].""
  - ""A 1 Hz high-pass filter and robust reference was applied [32], followed by sliding window spectral cleaning using principal component analysis to remove transient large-amplitude fluctuations [21] and canonical correlation analysis to remove electrical and muscle activity artifacts [33,34].""
  - ""We used an adapted data pre-processing pipeline to remove noise from our EEG recordings [21].""","- ""Independent components were labeled for likelihood of brain, muscle, eye, or noisy signals [36], where components with 90% or higher chance to be non-brain signals were rejected.""
  - ""After concatenating all pre-processed data among conditions, we rejected remaining noisy channels and down-sampled the data to 256 Hz before applying an Adaptive Mixture Independent Component Analysis in EEGLAB [35].""
  - ""A 1 Hz high-pass filter and robust reference was applied [32], followed by sliding window spectral cleaning using principal component analysis to remove transient large-amplitude fluctuations [21] and canonical correlation analysis to remove electrical and muscle activity artifacts [33,34].""
  - ""We used an adapted data pre-processing pipeline to remove noise from our EEG recordings [21].""","- ""Independent components were modeled as equivalent current dipoles using DIPFIT in EEGLAB, retaining components with residual variance below 15%.""
  - ""Independent components were labeled for likelihood of brain, muscle, eye, or noisy signals [36], where components with 90% or higher chance to be non-brain signals were rejected.""","- ""Independent components were labeled for likelihood of brain, muscle, eye, or noisy signals [36], where components with 90% or higher chance to be non-brain signals were rejected.""
  - ""Independent components were modeled as equivalent current dipoles using DIPFIT in EEGLAB, retaining components with residual variance below 15%.""",PMC12109666.pdf,
Neural markers of proactive and reactive cognitive control are altered during walking: A Mobile Brain-Body Imaging (MoBI) study,"Richardson, D. P., et al., 2022",HA,Treadmill walking,1 Hz,No,,ICLabel (automated classifier by Pion-Tonachini),reject IC if P(brain) < 0.7,"- ""EEG data were down-sampled to 512 Hz, datasets were re-referenced to the average reference, and adaptive mixture ICA (Palmer et al., 2008;Sejnowski, 1996) was performed.""","- ""EEG data were visually inspected, and data corresponding to block intermissions was removed. EEG was bandpass filtered 1-50 Hz, and bad channels were identified on the basis of being flat for > 5 s, and/or correlation to nearest neighbors < 0.8. Bad channels were removed and interpolated. EEG data were down-sampled to 512 Hz, datasets were re-referenced to the average reference, and adaptive mixture ICA (Palmer et al., 2008;Sejnowski, 1996) was performed. Resultant ICs were inspected, and classified into 7 categories (Brain, Eye, Muscle, Heart, Channel Noise, Line Noise, Other) using an automated component classifier (ICLabel v1.2.5) (Pion-Tonachini et al., 2019) that computes IC class probabilities for components. ICs with a brain classification below 0.7 were excluded from analysis.""","- ""EEG data were visually inspected, and data corresponding to block intermissions was removed. EEG was bandpass filtered 1-50 Hz, and bad channels were identified on the basis of being flat for > 5 s, and/or correlation to nearest neighbors < 0.8. Bad channels were removed and interpolated. EEG data were down-sampled to 512 Hz, datasets were re-referenced to the average reference, and adaptive mixture ICA (Palmer et al., 2008;Sejnowski, 1996) was performed. Resultant ICs were inspected, and classified into 7 categories (Brain, Eye, Muscle, Heart, Channel Noise, Line Noise, Other) using an automated component classifier (ICLabel v1.2.5) (Pion-Tonachini et al., 2019) that computes IC class probabilities for components. ICs with a brain classification below 0.7 were excluded from analysis.""","- ""ICs with a brain classification below 0.7 were excluded from analysis.""","- ""ICs with a brain classification below 0.7 were excluded from analysis.""",PMC8822329.pdf,
Electrocortical activity distinguishes between uphill and level walking in humans,"Bradford, J. C., et al., 2016",HA,Treadmill walking,Not reported (the paper does not mention a high-pass filter for EEG),No,,Dipole/residual-variance; Manual/visual,reject if dipole residual variance > 15% (equivalent to dipole residual variance < 85%),"- ""We high-pass filtered (20 Hz cut-off frequency, fourth-order Butterworth filter, zero-lag) and full-wave rectified the EMG signals.""
  - ""We computed log power spectra for level and incline walking for each cluster using a Wilcoxon (rank-sum) test to evaluate mean power differences between conditions within a moving 2-Hz frequency window (␣ ϭ 0.05).""
  - ""We removed ICs from further analysis if their best-fit equivalent current dipole accounted for less than 85% of the variance seen at the scalp (Gwin et al. 2011), or if their scalp map or spectra were indicative of an eye or muscle artifact (Jung et al. 2000a (Jung et al. , 2000b))""","- ""We performed an additional experiment using a method for characterizing artifact for our specific study parameters (Kline et al. 2015). The results of the motion artifact experiment did not demonstrate spectral fluctuation patterns similar to those found in the actual EEG data.""
  - ""Our reliance on a relatively slow walking speed (0.75 m/s), use of active, wet electrodes (Nonclercq and Mathys 2010), and data processing with IC analysis (Oliveira et al. 2015) clear differences.""
  - ""We removed ICs from further analysis if their best-fit equivalent current dipole accounted for less than 85% of the variance seen at the scalp (Gwin et al. 2011), or if their scalp map or spectra were indicative of an eye or muscle artifact (Jung et al. 2000a (Jung et al. , 2000b))""","- ""We removed ICs from further analysis if their best-fit equivalent current dipole accounted for less than 85% of the variance seen at the scalp (Gwin et al. 2011), or if their scalp map or spectra were indicative of an eye or muscle artifact (Jung et al. 2000a (Jung et al. , 2000b))""
  - ""We clustered 342 ICs from 19 subjects using a k-means clustering algorithm available in EEGLAB on vectors jointly coding similarities in dipole location, scalp topography, and frequency spectra (Gramann et al. 2010;Jung et al. 2001) and set the number of clusters to 12 to agree with previous studies from our lab (Gwin et al. 2011;Gwin and Ferris 2012;Sipp et al. 2013).""
  - ""We computed log power spectra for level and incline walking for each cluster using a Wilcoxon (rank-sum) test to evaluate mean power differences between conditions within a moving 2-Hz frequency window (␣ ϭ 0.05).""","- ""We removed ICs from further analysis if their best-fit equivalent current dipole accounted for less than 85% of the variance seen at the scalp (Gwin et al. 2011), or if their scalp map or spectra were indicative of an eye or muscle artifact (Jung et al. 2000a (Jung et al. , 2000b))""
  - ""The DIPFIT function in EEGLAB (Oostenveld and Oostendorp 2002) modeled each IC as an equivalent current dipole within a boundary element head model based on the Montreal Neurological Institute standard brain (Quebec).""","- ""We removed ICs from further analysis if their best-fit equivalent current dipole accounted for less than 85% of the variance seen at the scalp (Gwin et al. 2011), or if their scalp map or spectra were indicative of an eye or muscle artifact (Jung et al. 2000a (Jung et al. , 2000b))""",PMID_26683062.pdf,
Characterizing neurocognitive impairments in Parkinson's disease with mobile EEG when walking and stepping over obstacles,"Mustile, M., et al., 2023",HA & PwPD,Overground walking,,No,,Dipole/residual-variance,"reject IC if P(eye, muscle, heart, line noise, channel noise) > 0.9; keep IC if dipole residual variance < 15%","- ""The baseline corresponded to the mean activity of the overall epoch, and the interval was chosen to include the longest latency of the median of the 'start' (the onset of walking) across participants and conditions.""
  - ""Eventrelated spectral perturbations were obtained by computing the mean difference between single-trial log spectrograms for each channel, for each participant and the mean baseline spectrum, from -4500 ms preceding to 2000 ms following the obstacle stepping.""
  - ""Epochs were further visually inspected to identify trials that still appeared to be contaminated by prominent muscle artefacts, and these were manually removed.""
  - ""After rejection of artefactual components, the remaining data were segmented into epochs ranging from -5000 to 3000 ms around obstacle avoidance markers (i.e. the obstacle 'crossing' event, which was defined as time 0).""
  - ""Components exceeding a 90% probability of being eye, muscle, heart, line noise and channel noise were rejected. Only brain independent components with dipoles located inside the head and a residual variance lower than 15% were kept.""","- ""After rejection of artefactual components, the remaining data were segmented into epochs ranging from -5000 to 3000 ms around obstacle avoidance markers""
  - ""Only brain independent components with dipoles located inside the head and a residual variance lower than 15% were kept.""
  - ""Components exceeding a 90% probability of being eye, muscle, heart, line noise and channel noise were rejected.""","- ""Only brain independent components with dipoles located inside the head and a residual variance lower than 15% were kept.""
  - ""Components exceeding a 90% probability of being eye, muscle, heart, line noise and channel noise were rejected.""","- ""Only brain independent components with dipoles located inside the head and a residual variance lower than 15% were kept.""
  - ""Components exceeding a 90% probability of being eye, muscle, heart, line noise and channel noise were rejected.""","- ""Components exceeding a 90% probability of being eye, muscle, heart, line noise and channel noise were rejected.""
  - ""Only brain independent components with dipoles located inside the head and a residual variance lower than 15% were kept.""",PMC10724048.pdf,
Maintaining task performance levels under cognitive load while walking requires widespread reallocation of neural resources: A Mobile Brain-Body Imaging (MoBI) study,"Patelaki, E., et al., 2024",HA,Treadmill walking,"0.01 Hz (for ICA), Not reported (for main analysis)",No,,ICLabel (automated classifier by Pion-Tonachini),reject IC if P(muscle or eye or heart or line noise or channel noise) > 50%,"- ""In order to both achieve a high-quality ICA decomposition and retain as much low-frequency (< 1 Hz) neural activity as possible, after running Infomax ICA (runica function in EEGLAB, the number of retained principal components matched the rank of the EEG data) on 1-45 Hz bandpass-filtered data and obtaining the decomposition matrices (weight and sphere matrices), these matrices were transferred and applied to 0.01-45 Hz bandpass-filtered data.""
  - ""It has been shown that 1-2 Hz highpass filtered EEG data yield the optimal Independent Component Analysis (ICA) decomposition results in terms of signal-to-noise ratio (Klug & Gramann, 2021;Winkler et al., 2015).""
  - ""High-pass filtering was selected to be conservative based on evidence that high-pass filters ≤ 0.1 Hz introduce fewer artifacts into the ERP waveforms (Tanner et al., 2015).""
  - ""EEG signals were first filtered using a zero-phase Chebyshev Type II filter (filtfilt function in MATLAB, passband ripple Apass = 1 dB, stopband attenuation Astop = 65 dB)""","- ""EEG signals were first filtered using a zero-phase Chebyshev Type II filter (filtfilt function in MATLAB, passband ripple Apass = 1 dB, stopband attenuation Astop = 65 dB) (Mazurek et al., 2020), and subsequently down-sampled from 2048 Hz to 512 Hz.""
  - ""Next, 'bad' electrodes were detected based on kurtosis, probability, and the spectrum of the recorded data, setting the threshold to 5 standard deviations of the mean, as well as covariance, with the threshold set to ±3 standard deviations of the mean (Mazurek et al., 2020). These 'bad' electrodes were removed and interpolated based on neighboring electrodes, using spherical interpolation.""
  - ""All the electrodes were re-referenced offline to a common average reference.""
  - ""It has been shown that 1-2 Hz highpass filtered EEG data yield the optimal Independent Component Analysis (ICA) decomposition results in terms of signal-to-noise ratio (Klug & Gramann, 2021;Winkler et al., 2015).""
  - ""ICs were labeled using the ICLabel algorithm (Pion-Tonachini et al., 2019). ICs whose sum of probabilities for the five artifactual IC classes ('Muscle', 'Eye', 'Heart', 'Line Noise', 'Channel Noise') was higher than 50% were labeled as artifacts and were thus rejected.""
  - ""The remaining ICs were back-projected to the sensor space (Jungnickel & Gramann, 2016;Klug & Gramann, 2021;Mazurek et al., 2021).""","- ""ICs whose sum of probabilities for the five artifactual IC classes ('Muscle', 'Eye', 'Heart', 'Line Noise', 'Channel Noise') was higher than 50% were labeled as artifacts and were thus rejected.""
  - ""The remaining ICs were back-projected to the sensor space (Jungnickel & Gramann, 2016;Klug & Gramann, 2021;Mazurek et al., 2021).""
  - ""ICs were labeled using the ICLabel algorithm (Pion-Tonachini et al., 2019).""","- ""ICs were labeled using the ICLabel algorithm (Pion-Tonachini et al., 2019).""
  - ""ICs whose sum of probabilities for the five artifactual IC classes ('Muscle', 'Eye', 'Heart', 'Line Noise', 'Channel Noise') was higher than 50% were labeled as artifacts and were thus rejected.""","- ""ICs whose sum of probabilities for the five artifactual IC classes ('Muscle', 'Eye', 'Heart', 'Line Noise', 'Channel Noise') was higher than 50% were labeled as artifacts and were thus rejected.""
  - ""ICs were labeled using the ICLabel algorithm (Pion-Tonachini et al., 2019).""",PMC10842245.pdf,
Electrocortical Activity Correlated with Locomotor Adaptation during Split-belt Treadmill Walking,"Jacobsen, N. A., et al., 2023",HA,Treadmill walking,"1 Hz (zerophase, 2 nd order, Butterworth)",No,Not reported (the paper uses R 2 values for artifact removal but does not mention ASR or SD thresholds),Dipole/residual-variance,reject IC if residual variance > 15%,"- ""All EEG, EMG and noise channel data were high-pass filtered at 1 Hz (zerophase, 2 nd order, Butterworth) to attenuate slow drifts.""","- ""After noise and muscle artifact removal with iCanClean, CleanLine (Mullen, 2012) attenuated 60 Hz line-noise in the EEG data.""
  - ""The iCanClean algorithm first finds noise components by calculating canonical correlation between electrophysiological and noise channels (X and Y, respectively). Next noise components are selected based those with a squared pairwise correlation coefficient referred to as R 2 greater than a set threshold. Then, we find how the selected noise components project onto the EEG/EMG channels. Lastly the noise component projection is subtracted from the EEG/EMG data.""
  - ""To decrease motion and muscle artifact that contaminate EEG, we cleaned the EEG data with a novel method referred to as iCanClean that incorporates canonical correlation analysis (Gonsisko et al., 2023).The""","- ""In the first two cycles, motion artifact components were removed from the EEG and EMG data, with the difference being that two different window size parameters were used for each cycle: infinite window to remove stationary noise (R 2 = 0.95) and 2 s window to remove non-stationary noise (R 2 = 0.05).""
  - ""The iCanClean algorithm first finds noise components by calculating canonical correlation between electrophysiological and noise channels (X and Y, respectively). Next noise components are selected based those with a squared pairwise correlation coefficient referred to as R 2 greater than a set threshold.""
  - ""In the third cycle, muscle artifacts were attenuated in the EEG data (window size = 2 s, R 2 = 0.95).""
  - ""To decrease motion and muscle artifact that contaminate EEG, we cleaned the EEG data with a novel method referred to as iCanClean that incorporates canonical correlation analysis (Gonsisko et al., 2023).The""","- ""After source localization, we rejected artifact components that met any of the following criteria: high residual variance (residual variance > 15%), positive power spectra (2-40 Hz spectra linear slope > 0), located outside the skull, and high cross-frequency power-power coupling in high frequency bands [correlation coefficient >0.3 in low (< 8 Hz) and high (>30 Hz) frequency windows] as seen in eye and muscle components (Thammasan & Miyakoshi, 2020).""
  - ""An average of 21 ± 7 components per participant remained for group analysis.""","- ""After source localization, we rejected artifact components that met any of the following criteria: high residual variance (residual variance > 15%), positive power spectra (2-40 Hz spectra linear slope > 0), located outside the skull, and high cross-frequency power-power coupling in high frequency bands [correlation coefficient >0.3 in low (< 8 Hz) and high (>30 Hz) frequency windows] as seen in eye and muscle components (Thammasan & Miyakoshi, 2020).""
  - ""An average of 21 ± 7 components per participant remained for group analysis.""",PMC10528133.pdf,
